id1,data_base1,title1,author1,isbn1,title_raw1,author_raw1,isbn_raw1,id2,data_base2,title2,author2,isbn2,title_raw2,author_raw2,isbn_raw2
<http://recif.litterature.org/ontologie/entite/oeuvre/13439>,ILE,louise genest,['pelletier aime'],[],Louise Genest,"['""Pelletier, Aimé""']","['""""']",<http://banq.qc.ca/livre/100970>,Depot_legal,louise genest,['bertrand vac'],['978276040795X'],Louise Genest,"['""Bertrand"" ""Vac""']","['""2760407950""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/6081>,ILE,les filles de caleb,['cousture arlette'],[],Les Filles de Caleb,"['""Cousture, Arlette""']","['""""']",<http://banq.qc.ca/livre/302012>,Depot_legal,les filles de joie,['lise antunes simoes'],['978289585293X'],Les filles de joie,"['""Lise"" ""Antunes Simoes""']","['""9782895852933""']"
<http://banq.qc.ca/livre/284628>,Depot_legal,le dernier hiver,['louise auger'],['978292310724X'],Le dernier hiver,"['""Louise"" ""Auger""']","['""9782923107240""']",<http://recif.litterature.org/ontologie/entite/oeuvre/13131>,ILE,le dernier havre,['theriault yves'],[],Le dernier havre,"['""Thériault, Yves""']","['""""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/11579>,ILE,fuites et poursuites,['poupart jean-marie'],[],Fuites et poursuites,"['""Poupart, Jean-Marie""']","['""""']",<http://www.sogides.com/livre/103641>,ADP,fuites et poursuites,"['gilles archambault', 'chrystine brouillet', 'yves beauchemin', 'andre carpentier', 'pan bouyoucas']",['978289026346X'],Fuites et poursuites,"['""Gilles Archambault""', '""Chrystine Brouillet""', '""Yves Beauchemin""', '""ANDRE CARPENTIER""', '""Pan Bouyoucas""']","['""9782890263468""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/7072>,ILE,poesies completes,['saint-denys garneau hector de'],[],Poésies complètes,"['""Saint-Denys Garneau, Hector de""']","['""""']",<http://banq.qc.ca/livre/151298>,Depot_legal,oeuvres completes,['renaud longchamps'],"['978289583002X', '978289583134X', '978292189861X', '978289583092X', '978289583164X', '978289583058X', '978292189873X', '978292189858X']",Oeuvres complètes,"['""Renaud"" ""Longchamps""']","['""2895830029""', '""2895831343""', '""2921898616""', '""2895830924""', '""9782895831648""', '""2895830584""', '""292189873X""', '""2921898586""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/7072>,ILE,poesies completes,['saint-denys garneau hector de'],[],Poésies complètes,"['""Saint-Denys Garneau, Hector de""']","['""""']",<http://www.sogides.com/livre/201071>,ADP,poesies completes,['emile nelligan'],['978289295149X'],Poésies complètes,"['""Émile Nelligan""']","['""9782892951493""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/7072>,ILE,poesies completes,['saint-denys garneau hector de'],[],Poésies complètes,"['""Saint-Denys Garneau, Hector de""']","['""""']",<http://banq.qc.ca/livre/129427>,Depot_legal,oeuvres completes,['renaud longchamps'],"['978289583002X', '978292189858X', '978289583058X', '978292189873X', '978292189861X', '978289583134X', '978289583092X', '978289583164X']",Oeuvres complètes,"['""Renaud"" ""Longchamps""']","['""2895830029""', '""2921898586""', '""2895830584""', '""292189873X""', '""2921898616""', '""2895831343""', '""2895830924""', '""9782895831648""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/7072>,ILE,poesies completes,['saint-denys garneau hector de'],[],Poésies complètes,"['""Saint-Denys Garneau, Hector de""']","['""""']",<http://banq.qc.ca/livre/111015>,Depot_legal,oeuvres completes,['andre beauregard'],['978292224565X'],Oeuvres complètes,"['""André"" ""Beauregard""']","['""2922245659""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/7072>,ILE,poesies completes,['saint-denys garneau hector de'],[],Poésies complètes,"['""Saint-Denys Garneau, Hector de""']","['""""']",<http://banq.qc.ca/livre/217770>,Depot_legal,oeuvres completes,['renaud longchamps'],"['978289583058X', '978292189873X', '978289583002X', '978289583164X', '978292189858X', '978289583092X', '978289583134X', '978292189861X']",Oeuvres complètes,"['""Renaud"" ""Longchamps""']","['""2895830584""', '""292189873X""', '""2895830029""', '""9782895831648""', '""2921898586""', '""2895830924""', '""2895831343""', '""2921898616""']"
<http://recif.litterature.org/ontologie/entite/oeuvre/7072>,ILE,poesies completes,['saint-denys garneau hector de'],[],Poésies complètes,"['""Saint-Denys Garneau, Hector de""']","['""""']",<http://banq.qc.ca/livre/280885>,Depot_legal,oeuvres completes,['emile nelligan'],['978276213463X'],Oeuvres complètes,"['""Émile"" ""Nelligan""']","['""9782762134636""']"
